term,term_lemma,difficulty_score
cosmic background radiation,cosmic background radiation,3.6666666666666665
cosmic rays,cosmic ray,4.0
cosmological constant,cosmological constant,4.0
cosmological term,cosmological term,3.0
cosmology,cosmology,3.0
coulomb,coulomb,3.0
counter,counter,3.5
coupler,coupler,3.0
coupling,couple,2.0
coupling coefficient,couple coefficient,2.0
coupling constant,couple constant,3.0
covalent bond,covalent bond,3.0
covariance,covariance,3.0
covariant,covariant,3.0
coverage factor,coverage factor,4.5
covering group,cover group,1.75
crack,crack,4.0
creation and annihilation operators,creation and annihilation operator,3.0
creep,creep,3.0
creeping discharge,creep discharge,4.0
creeping flow,creep flow,3.0
crest,crest,3.0
critical Reynolds number,critical reynold number,2.0
critical angle,critical angle,3.5
critical assembly,critical assembly,3.5
critical condition,critical condition,3.25
critical coupling,critical coupling,3.0
critical current,critical current,3.0
critical energy,critical energy,3.5
critical exponent,critical exponent,3.0
critical fluctuation,critical fluctuation,4.5
critical frequency,critical frequency,3.0
critical magnetic field,critical magnetic field,3.0
critical nucleus,critical nucleus,3.0
critical phenomenon,critical phenomenon,3.0
critical point,critical point,2.25
critical pressure,critical pressure,2.5
critical relaxation,critical relaxation,3.5
critical scattering,critical scattering,3.0
critical shear stress,critical shear stress,3.25
critical slowing down,critical slow down,2.5555555555555554
critical state,critical state,3.1666666666666665
critical temperature,critical temperature,2.5
critical velocity,critical velocity,3.0
criticality,criticality,3.0
cross section,cross section,1.5
cross slip,cross slip,2.5
crossing symmetry,crossing symmetry,3.0
crossover effect,crossover effect,2.0
crowdion,crowdion,3.0
crucible,crucible,3.0
cryogenic pump,cryogenic pump,3.0
cryopump,cryopump,3.0
cryostat,cryostat,3.0
crystal,crystal,3.0
crystal face,crystal face,1.5
crystal field,crystal field,1.0
crystal filter,crystal filter,3.0
crystal form,crystal form,2.0
crystal growth,crystal growth,3.0
crystal habit,crystal habit,1.0
crystal lattice,crystal lattice,3.0
crystal momentum,crystal momentum,3.0
crystal optics,crystal optic,3.0
crystal orientation,crystal orientation,3.0
crystal pulling method,crystal pull method,2.0
crystal structure,crystal structure,2.0
crystal structure factor,crystal structure factor,3.0
crystal system,crystal system,2.0
crystal texture,crystal texture,3.0
crystalline,crystalline,3.0
crystalline field,crystalline field,1.0
crystalline polymer,crystalline polymer,3.0
crystallite,crystallite,3.0
crystallization,crystallization,3.0
crystallographic axis,crystallographic axis,4.0
crystallography,crystallography,3.0
cubic structure,cubic structure,2.0
cubic system,cubic system,2.0
cumulant expansion,cumulant expansion,4.0
curie,curie,3.0
curl,curl,4.0
current,current,3.0
current algebra,current algebra,3.0
current amplification,current amplification,4.0
current amplification factor,current amplification factor,4.0
current balance,current balance,3.25
current density,current density,3.0
current meter,current meter,3.0
current noise,current noise,2.0
current source,current source,2.5
curvature,curvature,3.0
curvature tensor,curvature tensor,3.0
curve fitting,curve fit,3.25
cut,cut,2.0
cut-off,cut - off,2.0
cut-off frequency,cut - off frequency,2.3333333333333335
cutting,cut,2.0
cycle,cycle,3.0
cyclotron,cyclotron,3.0
cyclotron damping,cyclotron damp,3.0
cyclotron frequency,cyclotron frequency,3.0
cyclotron motion,cyclotron motion,4.0
cyclotron resonance,cyclotron resonance,3.0
cyclotron resonance heating,cyclotron resonance heating,2.0
cylindrical coordinate,cylindrical coordinate,3.0
cylindrical lens,cylindrical len,3.0
d band,d band,1.0
d electron,d electron,3.0
damped oscillation,damp oscillation,3.0
damping,damp,3.0
damping force,damp force,3.0
dangling bond,dangle bond,3.0
dark current,dark current,2.0
dark field image,dark field image,1.3333333333333333
data,data,4.0
data communication,datum communication,2.0
database,database,4.0
dating,date,2.0
daughter nucleus,daughter nucleus,2.0
de Broglie wave,de broglie wave,2.5
de Haas-van Alphen effect,de haas - van alphen effect,2.5
deactivation,deactivation,3.0
dead time,dead time,2.25
dead water,dead water,2.25
decay,decay,4.0
decay constant,decay constant,4.0
decay curve,decay curve,3.5
decay rate,decay rate,3.5
deceleration,deceleration,3.0
dechanneling,dechannele,3.0
declination,declination,6.0
decommissioning,decommissioning,3.0
decoration,decoration,4.0
decuplet,decuplet,3.0
deduction,deduction,4.0
dee,dee,3.0
deep inelastic scattering,deep inelastic scattering,3.0
deep level,deep level,3.0
deexcitation,deexcitation,3.0
defect level,defect level,3.0
deflection method,deflection method,2.0
deformation,deformation,3.0
deformation potential,deformation potential,3.5
deformation vibration,deformation vibration,4.0
deformed nuclei,deform nucleus,3.0
degassing,degas,3.0
degeneracy,degeneracy,3.0
degeneration,degeneration,3.0
degradation,degradation,5.0
degree,degree,2.0
degree of crystallinity,degree of crystallinity,1.5
degree of depolarization,degree of depolarization,1.5
degree of dissociation,degree of dissociation,1.5
degree of freedom,degree of freedom,1.6666666666666667
degree of ionization,degree of ionization,1.5
degree of order,degree of order,1.5
degree of polarization,degree of polarization,1.5
degree of polymerization,degree of polymerization,1.5
degree of vacuum,degree of vacuum,1.5
delay,delay,2.5
delay line,delay line,2.5
delayed coincidence,delay coincidence,3.25
delayed fluorescence,delay fluorescence,2.5
delayed neutron,delay neutron,2.5
delocalization,delocalization,3.0
demagnetization,demagnetization,3.0
demagnetizing field,demagnetize field,1.0
demodulation,demodulation,3.0
dendrite,dendrite,3.0
dense Kondo effect,dense kondo effect,3.0
density,density,3.0
density functional formalism,density functional formalism,4.0
density gradient method,density gradient method,2.0
density matrix,density matrix,3.0
density modulation,density modulation,3.0
density wave,density wave,2.5
deoxyribonucleic acid,deoxyribonucleic acid,4.0
depleted uranium,deplete uranium,3.0
depletion layer,depletion layer,3.0
depolarization,depolarization,3.0
depth of focus,depth of focus,2.1666666666666665
desorption,desorption,3.0
desorption energy,desorption energy,4.0
desorption spectrum,desorption spectrum,3.0
detachment,detachment,4.0
detailed balance,detailed balance,3.75
detection,detection,3.0
detection limit,detection limit,3.0
detector,detector,3.0
detonation,detonation,3.0
deuterium,deuterium,3.0
deuteron,deuteron,3.0
deviation,deviation,3.0
devitrification,devitrification,3.0
diagonalization,diagonalization,3.0
diagrammatical method,diagrammatical method,2.0
dialysis,dialysis,3.0
diamagnetism,diamagnetism,3.0
diamond structure,diamond structure,2.0
diaphragm,diaphragm,3.0
diaphragm gauge,diaphragm gauge,3.0
diatomic gas,diatomic gas,2.0
diatomic molecule,diatomic molecule,3.0
dibaryon,dibaryon,3.0
dichroism,dichroism,3.0
die,die,2.0
dielectric,dielectric,3.0
dielectric anomaly,dielectric anomaly,3.0
dielectric breakdown,dielectric breakdown,4.0
dielectric constant,dielectric constant,4.0
dielectric dispersion,dielectric dispersion,3.0
dielectric loss,dielectric loss,3.0
dielectric loss tangent,dielectric loss tangent,3.0
dielectric property,dielectric property,3.0
dielectric relaxation,dielectric relaxation,4.0
dielectronic recombination,dielectronic recombination,3.0
differential amplifier,differential amplifier,4.0
differential equation,differential equation,4.0
differential method,differential method,2.0
differential operator,differential operator,4.0
differential pumping,differential pumping,3.0
differential scanning calorimeter,differential scan calorimeter,3.5
differential thermal analysis,differential thermal analysis,3.0
differential transformer,differential transformer,3.0
differential-difference equation,differential - difference equation,2.5
diffracted wave,diffract wave,2.5
diffraction,diffraction,3.0
diffraction angle,diffraction angle,4.0
diffraction contrast,diffraction contrast,2.0
diffraction efficiency,diffraction efficiency,3.0
diffraction grating,diffraction grate,3.0
diffraction pattern,diffraction pattern,3.0
diffraction scattering,diffraction scatter,3.0
diffraction theory,diffraction theory,3.0
diffractometer,diffractometer,3.0
diffuse reflection,diffuse reflection,4.5
diffuse scattering,diffuse scattering,6.0
diffuse sound,diffuse sound,4.333333333333333
diffused light,diffuse light,3.8333333333333335
diffusion,diffusion,3.0
diffusion current,diffusion current,3.0
diffusion equation,diffusion equation,4.0
diffusion in solid,diffusion in solid,2.25
diffusion layer,diffusion layer,3.0
diffusion length,diffusion length,3.0
diffusion process,diffusion process,3.5
diffusion pump,diffusion pump,3.0
diffusion velocity,diffusion velocity,3.0
diffusivity,diffusivity,3.0
digital circuit,digital circuit,4.0
digital signal,digital signal,3.5
digitizer,digitizer,3.0
dilatation,dilatation,3.0
dilation,dilation,3.0
dilatometer,dilatometer,3.0
dilatometry,dilatometry,3.0
dilute solution,dilute solution,2.0
dilution,dilution,3.0
dilution refrigerator,dilution refrigerator,2.0
dimension,dimension,4.0
dimensional analysis,dimensional analysis,3.0
dimensional equation,dimensional equation,4.0
dimensionless quantity,dimensionless quantity,3.0
dimer,dimer,3.0
diode,diode,3.0
diode laser,diode laser,4.0
diopter,diopter,3.0
dipole,dipole,3.0
dipole magnetic field,dipole magnetic field,3.0
dipole moment,dipole moment,1.0
dipole oscillation,dipole oscillation,3.0
dipole radiation,dipole radiation,3.0
dipole transition,dipole transition,4.0
dipole-dipole interaction,dipole - dipole interaction,3.0
direct correlation function,direct correlation function,3.6666666666666665
direct current,direct current,2.75
direct interaction,direct interaction,2.75
direct measurement,direct measurement,2.75
direct method,direct method,2.25
direct product,direct product,2.25
direct reaction,direct reaction,3.25
direct sum,direct sum,1.75
direct transition,direct transition,3.25
directional coupler,directional coupler,3.0
directivity,directivity,3.0
directivity factor,directivity factor,4.0
discharge chamber,discharge chamber,4.0
discharge cleaning,discharge clean,2.5
discharge lamp,discharge lamp,3.0
discharge pumped laser,discharge pump laser,3.6666666666666665
discharge tube,discharge tube,2.5
disclination,disclination,3.0
discommensuration,discommensuration,3.0
discrete eigenvalue,discrete eigenvalue,3.0
discrete energy level,discrete energy level,3.5
discriminant function,discriminant function,2.5
discriminator,discriminator,3.0
disintegration,disintegration,3.0
disk laser,disk laser,4.0
dislocation,dislocation,3.0
dislocation core,dislocation core,4.0
dislocation density,dislocation density,3.0
dislocation line,dislocation line,2.5
dislocation loop,dislocation loop,3.0
dislocation network,dislocation network,3.0
dislocation velocity,dislocation velocity,3.0
disorder parameter,disorder parameter,5.0
disordered system,disordered system,2.0
disorientation,disorientation,3.0
dispersion,dispersion,3.0
dispersion force,dispersion force,3.0
dispersion formula,dispersion formula,3.0
dispersion relation,dispersion relation,3.0
dispersion surface,dispersion surface,3.0
dispersiveness,dispersiveness,3.0
displacement,displacement,3.0
displacement current,displacement current,3.0
displacement thickness,displacement thickness,4.0
displacive type ferroelectrics,displacive type ferroelectric,2.0
display unit,display unit,2.25
dissipation,dissipation,3.0
dissipation function,dissipation function,2.5
dissipative structure,dissipative structure,2.0
dissipative system,dissipative system,2.0
dissociation,dissociation,3.0
dissociation energy,dissociation energy,4.0
dissociation limit,dissociation limit,3.0
dissociation pressure,dissociation pressure,2.0
dissociative adsorption,dissociative adsorption,3.0
dissociative attachment,dissociative attachment,3.0
dissociative chemisorption,dissociative chemisorption,3.0
dissociative ionization,dissociative ionization,3.0
dissociative recombination,dissociative recombination,3.0
dissolution,dissolution,3.0
distance,distance,3.0
distance of closest approach,distance of close approach,2.125
distillation,distillation,6.0
distorted wave,distort wave,2.5
distortion,distortion,4.0
distributed constant circuit,distribute constant circuit,4.0
distributed feed back laser,distribute feed back laser,2.6875
distribution,distribution,3.0
distribution function,distribution function,2.75
distributor,distributor,4.0
divergence,divergence,5.0
divertor,divertor,3.0
domain,domain,3.0
domain pattern,domain pattern,3.0
domain structure,domain structure,2.0
domain wall,domain wall,1.0
donor,donor,3.0
donor level,donor level,3.0
doping,dope,3.0
dose,dose,4.0
dose rate,dose rate,3.5
dosimeter,dosimeter,3.0
dosimetry,dosimetry,3.0
double bond,double bond,3.1666666666666665
double cross slip,double cross slip,2.7777777777777772
double differential cross section,double differential cross section,2.111111111111111
double exchange interaction,double exchange interaction,2.944444444444444
double focusing,double focus,2.9166666666666665
double layer,double layer,3.1666666666666665
double probe,double probe,3.6666666666666665
double refraction,double refraction,3.333333333333333
double-heterostructure laser,double - heterostructure laser,3.6666666666666665
doublet,doublet,3.0
doublet state,doublet state,3.333333333333333
doubly magic nucleus,doubly magic nucleus,3.0
doughnut,doughnut,3.0
drag,drag,3.0
drag effect,drag effect,2.5
drain,drain,4.0
drawing,draw,1.5
drift approximation,drift approximation,3.0
drift chamber,drift chamber,3.0
drift instability,drift instability,3.0
drift mobility,drift mobility,4.0
drift term,drift term,3.0
drift tube,drift tube,1.0
drift velocity,drift velocity,3.0
drift wave,drift wave,2.5
driving force,drive force,3.125
dryness,dryness,3.0
dual lattice,dual lattice,3.0
dual model,dual model,2.6666666666666665
duality,duality,3.0
ductility,ductility,3.0
dummy load,dummy load,3.0
duoplasmatron,duoplasmatron,3.0
durability,durability,3.0
dye laser,dye laser,4.0
dynamic behaviour,dynamic behaviour,4.0
dynamic characteristics,dynamic characteristic,3.75
dynamic loading,dynamic loading,4.0
dynamic pressure,dynamic pressure,3.0
dynamic viscoelasticity,dynamic viscoelasticity,4.0
dynamical structure factor,dynamical structure factor,3.0
dynamical susceptibility,dynamical susceptibility,3.0
dynamical symmetry,dynamical symmetry,3.0
dynamics,dynamic,4.0
dynamo,dynamo,3.0
dynamo theory,dynamo theory,3.0
dyon,dyon,3.0
eV,ev,3.0
earth,earth,2.0
easy axis of magnetization,easy axis of magnetization,2.0
eccentricity,eccentricity,6.0
echelon,echelon,3.0
echo,echo,6.0
eddy current,eddy current,3.0
eddy diffusivity,eddy diffusivity,3.0
eddy viscosity,eddy viscosity,3.0
edge dislocation,edge dislocation,3.0
effective Bohr magneton,effective bohr magneton,3.0
effective Hamiltonian,effective hamiltonian,3.0
effective charge,effective charge,3.0
effective cross section,effective cross section,2.0
effective interaction,effective interaction,3.0
effective magnetic field,effective magnetic field,3.0
effective mass,effective mass,3.25
effective nuclear charge,effective nuclear charge,3.0
effective range,effective range,3.0
effective stress,effective stress,3.25
effective temperature,effective temperature,2.5
effective value,effective value,3.0
efficiency,efficiency,3.0
effusion,effusion,3.0
eigenfunction,eigenfunction,3.0
eigenfunction expansion,eigenfunction expansion,4.0
eigenvalue,eigenvalue,3.0
eikonal,eikonal,3.0
eikonal approximation,eikonal approximation,3.0
elastic body,elastic body,3.0
elastic collision,elastic collision,5.0
elastic compliance,elastic compliance,5.0
elastic constant,elastic constant,4.5
elastic deformation,elastic deformation,5.0
elastic energy,elastic energy,4.5
elastic instability,elastic instability,5.0
elastic limit,elastic limit,4.0
elastic oscillation,elastic oscillation,5.0
elastic potential,elastic potential,4.25
elastic scattering,elastic scattering,5.0
elastic strain,elastic strain,4.25
elastic stress,elastic stress,4.25
elastic wave,elastic wave,3.75
elastica,elastica,3.0
elasticity,elasticity,6.0
electret,electret,3.0
electric capacitance,electric capacitance,2.0
electric capacity,electric capacity,2.5
electric charge,electric charge,2.5
electric circuit,electric circuit,3.5
electric conductivity,electric conductivity,2.0
electric current,electric current,2.5
electric current density,electric current density,2.5
electric dipole,electric dipole,2.0
electric dipole moment,electric dipole moment,1.5
electric discharge,electric discharge,3.0
electric displacement,electric displacement,2.0
electric double layer,electric double layer,2.7777777777777772
electric energy,electric energy,3.0
electric field,electric field,1.5
electric field strength,electric field strength,1.6666666666666667
electric field vector,electric field vector,1.5
electric flux,electric flux,2.0
electric flux density,electric flux density,2.0
electric force,electric force,2.5
electric multipole,electric multipole,2.0
electric polarizability,electric polarizability,2.0
electric potential,electric potential,2.75
electric power,electric power,2.0
electric quadrupole,electric quadrupole,2.0
electric quadrupole moment,electric quadrupole moment,1.5
electric resistance,electric resistance,3.0
electric resistivity,electric resistivity,2.0
electric shielding,electric shielding,2.0
electric susceptibility,electric susceptibility,2.0
electrical conduction,electrical conduction,3.0
electrically conducting fluid,electrically conduct fluid,3.75
electricity,electricity,3.0
electrification,electrification,3.0
electro-optic effect,electro - optic effect,2.0
electroacoustics,electroacoustic,3.0
electrobalance,electrobalance,3.0
electrochemical potential,electrochemical potential,3.5
electrode,electrode,6.0
electrode potential,electrode potential,4.75
electrodeless discharge,electrodeless discharge,4.0
electrodynamics,electrodynamic,3.0
electroluminescence,electroluminescence,3.0
electrolysis,electrolysis,3.0
electrolyte,electrolyte,3.0
electrolytic capacitor,electrolytic capacitor,3.0
electrolytic polishing,electrolytic polishing,3.0
electrolytic solution,electrolytic solution,2.0
electromagnetic cascade shower,electromagnetic cascade shower,3.9166666666666665
electromagnetic effect,electromagnetic effect,2.0
electromagnetic field,electromagnetic field,1.0
electromagnetic flowmeter,electromagnetic flowmeter,3.0
electromagnetic force,electromagnetic force,3.0
electromagnetic induction,electromagnetic induction,5.0
electromagnetic interaction,electromagnetic interaction,3.0
electromagnetic radiation,electromagnetic radiation,3.0
electromagnetic valve,electromagnetic valve,3.0
electromagnetic wave,electromagnetic wave,2.5
electromagnetics,electromagnetic,3.0
electromagnetism,electromagnetism,3.0
electrometer,electrometer,3.0
electromigration,electromigration,3.0
electromotive force,electromotive force,3.0
electron,electron,3.0
electron Larmor radius,electron larmor radius,3.0
electron affinity,electron affinity,3.0
electron attachment,electron attachment,3.0
electron avalanche,electron avalanche,3.0
electron beam,electron beam,3.5
electron beam holography,electron beam holography,3.5
electron capture,electron capture,3.0
electron cloud,electron cloud,2.0
electron configuration,electron configuration,3.0
electron cooling,electron cooling,3.0
electron correlation,electron correlation,4.5
electron cyclotron frequency,electron cyclotron frequency,3.0
electron density,electron density,3.0
electron detachment,electron detachment,3.5
electron diffraction,electron diffraction,3.0
electron donor,electron donor,3.0
electron emission,electron emission,3.0
electron energy loss spectroscopy,electron energy loss spectroscopy,3.3333333333333335
electron gas,electron gas,2.5
electron gun,electron gun,2.5
electron holography,electron holography,3.0
electron impact,electron impact,2.5
electron interferometer,electron interferometer,3.0
electron lens,electron len,3.0
electron microscope,electron microscope,3.5
electron mobility,electron mobility,3.5
electron number,electron number,2.0
electron optics,electron optic,3.0
electron pair,electron pair,2.0
electron plasma frequency,electron plasma frequency,3.0
electron plasma wave,electron plasma wave,2.75
electron polarization,electron polarization,3.0
electron population analysis,electron population analysis,2.6666666666666665
electron promotion,electron promotion,3.0
electron saturation current,electron saturation current,3.0
electron shell,electron shell,3.0
electron source,electron source,2.5
electron spectrometer,electron spectrometer,3.0
electron spectroscopy,electron spectroscopy,3.0
electron spin relaxation,electron spin relaxation,3.6666666666666665
electron spin resonance,electron spin resonance,3.5
electron stimulated desorption,electron stimulate desorption,3.5
electron temperature,electron temperature,2.5
electron theory,electron theory,3.0
electron transfer,electron transfer,3.25
electron trap,electron trap,2.5
electron wave,electron wave,2.75
electron-hole pair,electron - hole pair,1.6666666666666667
electron-lattice interaction,electron - lattice interaction,3.0
electron-phonon interaction,electron - phonon interaction,3.0
electron-phonon system,electron - phonon system,2.5
electronegativity,electronegativity,3.0
electronic excitation,electronic excitation,3.0
electronic specific heat,electronic specific heat,2.5
electronic spectrum,electronic spectrum,3.0
electronic state,electronic state,3.1666666666666665
electronic stopping power,electronic stopping power,2.5
electronic transition,electronic transition,3.5
electrophoresis,electrophoresis,3.0
electrostatic accelerator,electrostatic accelerator,3.0
electrostatic capacity,electrostatic capacity,3.0
electrostatic deflection,electrostatic deflection,3.0
electrostatic energy,electrostatic energy,4.0
electrostatic field,electrostatic field,1.0
electrostatic focusing,electrostatic focusing,3.0
electrostatic lens,electrostatic len,3.0
electrostatic potential,electrostatic potential,3.5
electrostatic probe,electrostatic probe,4.0
electrostatic septum,electrostatic septum,3.0
electrostatic wave,electrostatic wave,2.5
electrostatics,electrostatic,3.0
electrostriction,electrostriction,3.0
electroweak interaction,electroweak interaction,3.0
electroweak theory,electroweak theory,3.0
element,element,3.0
elementary excitation,elementary excitation,1.0
elementary particle,elementary particle,2.5
elementary particle physics,elementary particle physics,2.6666666666666665
elementary process,elementary process,2.25
elementary quantity,elementary quantity,2.0
elementary reaction,elementary reaction,2.5
ellipse,ellipse,3.0
ellipsometer,ellipsometer,3.0
ellipsometry,ellipsometry,3.0
elliptically polarized light,elliptically polarize light,1.6666666666666667
elliptically polarized wave,elliptically polarize wave,2.5
elongation,elongation,3.0
embrittlement,embrittlement,3.0
embryo,embryo,3.0
emission,emission,3.0
emission band,emission band,1.0
emission spectrum,emission spectrum,3.0
emissivity,emissivity,3.0
emittance,emittance,3.0
emitter,emitter,3.0
empirical formula,empirical formula,3.0
emulsion,emulsion,3.0
emulsion polymerization,emulsion polymerization,3.0
encoder,encoder,3.0
endothermic,endothermic,3.0
endothermic reaction,endothermic reaction,4.0
energy,energy,4.0
energy analyser,energy analyser,4.0
energy band,energy band,2.5
energy conversion,energy conversion,4.0
energy density,energy density,4.0
energy dependence,energy dependence,4.0
energy distribution,energy distribution,3.5
energy flow,energy flow,3.5
energy gap,energy gap,3.5
energy level,energy level,3.5
energy loss,energy loss,3.5
energy spectrum,energy spectrum,4.0
energy surface,energy surface,3.5
energy transfer,energy transfer,3.75
energy width,energy width,4.0
energy-momentum tensor,energy - momentum tensor,4.0
ensemble,ensemble,3.0
ensemble average,ensemble average,2.0
entanglements,entanglement,3.0
enthalpy,enthalpy,3.0
entropy,entropy,3.0
environmental test,environmental test,2.75
enzyme,enzyme,3.0
epitaxial growth,epitaxial growth,3.0
epitaxy,epitaxy,3.0
equal temperament,equal temperament,4.333333333333333
equation,equation,4.0
equation of continuity,equation of continuity,3.3333333333333335
equation of geodesic deviation,equation of geodesic deviation,2.5
equation of motion,equation of motion,3.0
equation of state,equation of state,2.7777777777777772
equator,equator,3.0
equilibrium,equilibrium,6.0
equilibrium charge,equilibrium charge,4.5
equilibrium constant,equilibrium constant,5.0
equilibrium orbit,equilibrium orbit,4.5
equivalent,equivalent,3.0
equivalent circuit,equivalent circuit,5.0
equivalent width,equivalent width,4.0
error,error,2.0
error analysis,error analysis,2.5
etalon,etalon,3.0
etch pit,etch pit,4.5
etching,etch,6.0
ether,ether,3.0
eutectic,eutectic,3.0
eutectic alloy,eutectic alloy,3.0
eutectic point,eutectic point,1.5
eutectoid,eutectoid,3.0
evaporated film,evaporate film,2.5
evaporation,evaporation,3.0
evaporation model,evaporation model,2.6666666666666665
even-odd effect,even - odd effect,2.8333333333333335
event,event,1.0
event horizon,event horizon,2.0
evolution equation,evolution equation,4.0
exact solution,exact solution,3.25
exceptional Lie group,exceptional lie group,2.8333333333333335
exchange charge,exchange charge,2.75
exchange current,exchange current,2.75
exchange force,exchange force,2.75
exchange integral,exchange integral,3.75
exchange interaction,exchange interaction,2.75
exchange narrowing,exchange narrow,2.75
exchange reaction,exchange reaction,3.25
exchange splitting,exchange splitting,2.5
exchange stiffness constant,exchange stiffness constant,3.25
excimer,excimer,3.0
excitation,excitation,3.0
excitation energy,excitation energy,4.0
excitation function,excitation function,2.5
excitation spectrum,excitation spectrum,3.0
excitation transfer,excitation transfer,3.5
excited state,excited state,2.1666666666666665
exciton,exciton,3.0
excitonic absorption,excitonic absorption,3.0
excitonic molecule,excitonic molecule,3.0
excitonic phase,excitonic phase,5.0
excluded volume effect,exclude volume effect,3.0
exclusion principle,exclusion principle,3.5
exergy,exergy,3.0
exoelectron,exoelectron,3.0
exothermic reaction,exothermic reaction,4.0
exotic atom,exotic atom,3.25
expanding universe,expand universe,3.0
expansion,expansion,4.0
expansion coefficient,expansion coefficient,4.0
expectation value,expectation value,3.5
experiment,experiment,3.5
exponential distribution,exponential distribution,3.0
exposure,exposure,3.0
extended zone scheme,extend zone scheme,3.0
extensometer,extensometer,3.0
exterior derivative,exterior derivative,5.0
external conical refraction,external conical refraction,4.0
external force,external force,3.5
external noise,external noise,2.5
external pressure,external pressure,3.0
extinction,extinction,3.0
extinction coefficient,extinction coefficient,3.0
extinction distance,extinction distance,3.0
extinction effects,extinction effect,2.5
extinction ratio,extinction ratio,3.0
extinction rule,extinction rule,2.75
extraction,extraction,3.0
extraordinary wave,extraordinary wave,2.75
extrapolation,extrapolation,3.0
extrusion,extrusion,3.0
eyepiece,eyepiece,3.0
face-centered cubic structure,face - center cubic structure,1.75
factor group,factor group,3.0
fading,fade,3.0
failure,failure,3.0
fall time,fall time,2.5
falling,fall,2.5
far field pattern,far field pattern,2.3333333333333335
far infrared laser,far infrared laser,3.5
far infrared radiation,far infrared radiation,3.0
fast Fourier transformation,fast fourier transformation,2.0
fast breeder reactor,fast breeder reactor,1.0
fast diffusion,fast diffusion,1.0
fast neutron,fast neutron,1.0
fatigue,fatigue,5.0
fatigue strength,fatigue strength,3.5
fatigue test,fatigue test,3.75
fcc structure,fcc structure,2.0
feedback,feedback,4.0
feedback ratio,feedback ratio,4.0
feedforward control,feedforward control,2.5
feedthrough,feedthrough,3.0
fermi,fermi,3.0
fermion,fermion,3.0
ferrimagnet,ferrimagnet,3.0
ferrimagnetic resonance,ferrimagnetic resonance,3.0
ferrimagnetism,ferrimagnetism,3.0
ferrite,ferrite,3.0
ferroelastic domain,ferroelastic domain,3.0
ferroelastic phase transition,ferroelastic phase transition,4.5
ferroelectric domain,ferroelectric domain,3.0
ferroelectric mode,ferroelectric mode,3.0
ferroelectric phase transition,ferroelectric phase transition,4.5
ferroelectricity,ferroelectricity,3.0
ferroelectrics,ferroelectric,3.0
ferromagnet,ferromagnet,3.0
ferromagnetic resonance,ferromagnetic resonance,3.0
ferromagnetic superconductor,ferromagnetic superconductor,3.0
ferromagnetism,ferromagnetism,3.0
fiber,fiber,3.0
fiber optics,fiber optic,3.0
fibril,fibril,3.0
fidelity,fidelity,3.0
field,field,1.0
field electron emission,field electron emission,2.0
field evaporation,field evaporation,1.0
field lens,field len,1.0
field magnet,field magnet,1.0
field strength,field strength,1.5
field theory,field theory,2.0
field-effect transistor,field - effect transistor,2.3333333333333335
figure of merit,figure of merit,3.0
filament,filament,3.0
filled band,fill band,1.0
filter,filter,3.0
filtration,filtration,3.0
final state,final state,2.6666666666666665
final state interaction,final state interaction,2.7777777777777772
fine adjustment,fine adjustment,3.5
fine particle,fine particle,3.5
fine structure,fine structure,2.5
finesse,finesse,3.0
finite amplitude sound,finite amplitude sound,2.6666666666666665
finite difference equation,finite difference equation,2.5
finite difference method,finite difference method,1.5
finite element method,finite element method,2.5
finite group,finite group,2.0
firing voltage,fire voltage,2.5
first order phase transition,first order phase transition,2.875
fission,fission,3.0
fission barrier,fission barrier,4.0
fission counter,fission counter,3.5
fission fragment,fission fragment,3.0
fission neutron,fission neutron,3.0
fission product,fission product,2.0
fission yield,fission yield,4.0
fixation,fixation,3.0
fixed point,fix point,2.0
flare,flare,3.0
flash photolysis,flash photolysis,3.6666666666666665
flashover,flashover,3.0
flatness,flatness,3.0
flavor,flavor,3.0
flexibility,flexibility,4.0
flexible polymer,flexible polymer,4.0
flexural rigidity,flexural rigidity,3.0
flexural vibration,flexural vibration,4.0
flexure,flexure,3.0
flicker noise,flicker noise,3.0
flip-flop,flip - flop,4.0
floating body,float body,1.75
floating potential,float potential,3.0
floating zone-melting method,float zone - melt method,2.375
flow,flow,3.0
flow birefringence,flow birefringence,3.0
flow stress,flow stress,3.25
flow visualization,flow visualization,3.0
flowmeter,flowmeter,3.0
fluctuating force,fluctuate force,4.5
fluctuation,fluctuation,6.0
fluctuation-dissipation theorem,fluctuation - dissipation theorem,6.0
fluid,fluid,4.0
fluid at rest,fluid at rest,2.6666666666666665
fluid dynamics,fluid dynamic,4.0
fluid model,fluid model,3.333333333333333
fluorescence,fluorescence,3.0
fluorescence spectrophotometer,fluorescence spectrophotometer,3.0
fluorescence spectrum,fluorescence spectrum,3.0
fluorescence yield,fluorescence yield,4.0
fluorescent X-rays,fluorescent x - ray,2.0
fluorescent screen,fluorescent screen,3.0
fluorite structure,fluorite structure,2.0
flutter echo,flutter echo,5.0
flux,flux,3.0
flux creep,flux creep,3.0
flux density,flux density,3.0
flux distribution,flux distribution,3.0
flux flow,flux flow,3.0
flux method,flux method,2.0
flux motion,flux motion,4.0
flux peaking,flux peaking,3.0
flux quantization,flux quantization,3.0
flux quantum,flux quantum,3.0
fluxoid,fluxoid,3.0
fluxoid lattice,fluxoid lattice,3.0
fluxoid motion,fluxoid motion,4.0
flywheel,flywheel,3.0
focal length,focal length,3.0
