67ga citrate
traumatic neuroma
traumatic pneumothorax
traumatic shock
treatment plan
treponema denticola
tricarboxylic acid
trichomonas vaginalis
trigeminal nerve
trigger zone
trypan blue
tube feeding
tuberculin reaction
tuberculous lymphadenitis
tuberous sclerosis
tubular adenocarcinoma
tubular adenoma
tumor cell
tumor regrowth
tumor-specific antigen
turbine handpiece
turbulent flow
turner syndrome
ultrasonic echography
ultrasonic nebulizer
uncoated tablet
under exposure
unidentified complaint
unit cell
unstimulated saliva
upper jaw
upper lip
upright position
urea cycle
urinary output
urinary stone
usual dose
vacuolar degeneration
vagal reflex
vapor pressure
variable region
vascular collapse
vasomotor center
vasomotor nerve
vasomotor reflex
vasopressor drug
vasovagal reflex
vasovagal syncope
vegetative state
venous embolism
venous pressure
ventilatory frequency
ventricular fibrillation
ventricular tachycardia
verruciform xanthoma
vertical dimension
vertical infection
vibrio parahaemolyticus
vicious circle
vickers hardness
viral infection
visceral pain
visceral sensation
viscosity coefficient
visible light
visual disturbance
visual pigment
vital capacity
vital reaction
vital sign
vitamin a
vitamin b1
vitamin b2
vitamin c
vitamin d2
vitamin d3
vitamin deficiency
vitamin e
volatile anesthetic
volitional movement
voltage clamp
volume-limited respirator
vomiting center
wallenberg syndrome
water bath
water deprivation
water diuresis
water jet
water loss
water quality
water requirement
water retention
wax pattern
waxy degeneration
weil-felix reaction
wheel chair
white muscle
white thrombus
whole blood
whole saliva
wisdom tooth
wiskott-aldrich syndrome
withdrawal syndrome
word deafness
working length
working point
working time
wound healing
x-linked inheritance
x-ray diffraction
x-ray tube
xanthoma cell
xeroderma pigmentosum
yield point
young modulus
zinc chloride
zinc oxide
zinc sulfate
zygomatic arch
zygomatic bone
zygosity diagnosis
α receptor
α wave
α-ketoglutaric acid
β blocker
β oxidation
β receptor
γ motoneuron
